Material Entity,Social Relation,Sentence
ankusam,bridesmaid,"This is followed by the waving of ārathi (coloured water), and circumambulation of the pandal by the pair, along with the ashtamangalam or eight auspicious things, viz., the bridesmaid, best man, lamp, vessel filled with water, mirror, ankusam (elephant goad), white chamara (yak’s tail fly-flapper), flag and drum."
anna,barber,"The barber makes a mark at the four corners of the bier, and the son places a quarter anna on three of the marks, and some cowdung on the mark at the north-east corner."
anna,goldsmith,"The girl’s father takes the tāli, a small round plate of gold about the size of a two-anna bit, with a hole at the top, from the goldsmith who is in waiting, pays him for it,’ and gives it to the Manavālan."
anna,brother,"When people belong to the same sept, they say “Ba, anna, appa, thamma, amma, akka” (come, father, brother, mother, sister, etc.)."
anna,brother,"Some Dūdēkulas adopt the Hindu termination appa (father), anna (brother), or gadu, e.g., Pullanna, Nāganna, Yerkalappa, Hussaingadu, Hussainappa."
anna,bridegroom,"Beneath the canopy is one of the women of the bridegroom’s family, who carries on a tray two sacred lamps, an eight-anna piece, some saffron (turmeric), akshinthulu, betel, frankincense, cocoanut, etc."
anna,father,"The girl’s father takes the tāli, a small round plate of gold about the size of a two-anna bit, with a hole at the top, from the goldsmith who is in waiting, pays him for it,’ and gives it to the Manavālan."
anna,bridegroom,"At the time of marriage, the bridegroom’s party repair to the house of the bride with a sheep, goat, rice, and a female cloth with a rupee placed on it, and four quarter-anna bits inserted within its fold."
anna,father,"The boy goes, accompanied by his father and mother, to the house where the girl lives, prostrates himself at the feet of her parents, and, if he is accepted, presents his future father-in-law with a four-anna piece, which is understood to represent a larger sum, and seals the contract."
anna,father,"Some Dūdēkulas adopt the Hindu termination appa (father), anna (brother), or gadu, e.g., Pullanna, Nāganna, Yerkalappa, Hussaingadu, Hussainappa."
anna,father,"When people belong to the same sept, they say “Ba, anna, appa, thamma, amma, akka” (come, father, brother, mother, sister, etc.)."
anna,assistant,"A wealthy Oddē, worth nearly a lakh of rupees, worried my assistant for half an anna, wherewith to purchase some betel leaf."
anna,potter,"The eight-anna piece is given to the potter, and the betel to the Chalavādhi."
anna,celebrant,"As soon as the corpse has reached the spot where the pyre is, the celebrant of the rites sprinkles water thereon, and throws a quarter of an anna on it as the equivalent of purchase of the ground for cremation."
anna,mother,"When people belong to the same sept, they say “Ba, anna, appa, thamma, amma, akka” (come, father, brother, mother, sister, etc.)."
anna,sister,"When people belong to the same sept, they say “Ba, anna, appa, thamma, amma, akka” (come, father, brother, mother, sister, etc.)."
anna,son,"The barber makes a mark at the four corners of the bier, and the son places a quarter anna on three of the marks, and some cowdung on the mark at the north-east corner."
anna,mother,"The boy goes, accompanied by his father and mother, to the house where the girl lives, prostrates himself at the feet of her parents, and, if he is accepted, presents his future father-in-law with a four-anna piece, which is understood to represent a larger sum, and seals the contract."
anna,mother,"He generally presents his mother-in-law with a female cloth, with an eight anna bit tied in the skirt thereof."
anna,priest,"The priest gets twelve measures of rice, the grave-diggers twelve annas, the Vallon two annas, and the coffin-bearers each an anna."
anna,child,"The demand for labour naturally rose, and the Government offered to pay to parents 2 annas 6 pies on the birth of a male, and 1 anna 3 pies on the birth of a female child—a bounty on productivity justified by special local causes."
anna,goddess,"Thus, the anna table is composed of the syllables of Tiripurasundari, the goddess at Madura, which is a great centre for Nāttukōttai Chettis."
anna,householder,"People living in country places, remote from towns, are entirely at the mercy of the Maravars, and every householder or occupier of a mud hut, which is dignified by being called a house, must pay the Maravars half a fanam, which is equal to one anna eight pies, yearly."
anna,goddess,"Should illness, such as cholera, small-pox, or fever occur in a family, some fowls and an anna or two are offered at the temple to the goddess Bhagavathi, who is believed to be able to save them from the impending calamity."
anna,bride,"At the time of marriage, the bridegroom’s party repair to the house of the bride with a sheep, goat, rice, and a female cloth with a rupee placed on it, and four quarter-anna bits inserted within its fold."
anna,bridegroom,"On the first day of the marriage, pūrna kumbam, a small decorated vessel containing milk or ghī, with a two-anna piece and a cocoanut placed on the betel leaf spread over the mouth of it, is taken by the bridegroom’s relations to meet the bride’s party."
anna,bride,"On the first day of the marriage, pūrna kumbam, a small decorated vessel containing milk or ghī, with a two-anna piece and a cocoanut placed on the betel leaf spread over the mouth of it, is taken by the bridegroom’s relations to meet the bride’s party."
arrow,husband,"Infant marriage is the rule, and, if a girl does not secure a husband before she reaches maturity, she goes through a mock marriage ceremony, in which the bridegroom is represented by a brass vessel or an arrow."
arrow,husband,"If a girl fails to secure a husband before she attains puberty, she has to go through a form of marriage called dharma bibha, in which the bridegroom is, among the Sollokhondias, represented by an old man, preferably the girl’s grandfather, and among the other sections by a sahāda or shādi tree (Streblus asper) or an arrow (khando)."
arrow,husband,"Infant marriage is the rule, and, if a girl does not secure a husband before she reaches maturity, she must, if she belongs to the cloth-weaving section, go through a form of marriage with an old man, and, if to the other section, with an arrow."
arrow,husband,"The moment that a divorcée marries another man, her former husband pounces upon him, shoots his buffalo or pig dead with an arrow, and takes it to his village, where its flesh is served up at a feast."
arrow,husband,"In these cases, it is arranged that one of the husbands shall give the bow and arrow, and this man is the father, not only of the child born shortly afterwards, but also of all succeeding children, till another husband performs the essential ceremony."
arrow,bridegroom,"Infant marriage is the rule, and, if a girl does not secure a husband before she reaches maturity, she goes through a mock marriage ceremony, in which the bridegroom is represented by a brass vessel or an arrow."
arrow,chief,"The bridegroom, who is the chief figure in the crowd, has a string (the usual kankanam) tied round his right wrist to protect him from evil spirits, and carries a bamboo with sixteen joints symbolic of the married state, a mirror for good luck, an arrow to guard the bride against evil spirits, four cloths, and a tāli."
arrow,bridegroom,"Sometimes the bridegroom is represented by a bow and arrow, and the ceremony is called khando bibha."
arrow,bridegroom,"In the centre a bow and arrow tied together are fixed in the ground, and the bride and bridegroom are made to move round it, when the men assembled bless them by throwing some rice over them, and the marriage is complete."
arrow,marksman,"“Fish are shot in various ways, by a Chittagong bamboo, which is a hollow tube, down which the arrow is propelled by the marksman’s mouth."
arrow,bridegroom,"If a girl fails to secure a husband before she attains puberty, she has to go through a form of marriage called dharma bibha, in which the bridegroom is, among the Sollokhondias, represented by an old man, preferably the girl’s grandfather, and among the other sections by a sahāda or shādi tree (Streblus asper) or an arrow (khando)."
arrow,bridegroom,"At a marriage among the Kondhs of Baliguda, after the heads of the bride and bridegroom have been brought together, an arrow is discharged from a bow by the younger brother of the bridegroom into the grass roof of the hut."
arrow,bridegroom,"The bridegroom, who is the chief figure in the crowd, has a string (the usual kankanam) tied round his right wrist to protect him from evil spirits, and carries a bamboo with sixteen joints symbolic of the married state, a mirror for good luck, an arrow to guard the bride against evil spirits, four cloths, and a tāli."
arrow,patient,"She then stands behind the kneeling patient, and shoots balls of medicine stuck on the tip of the arrow at her."
arrow,bridegroom,"Sometimes it is called nyanga-dal-sol, because the future bridegroom carries a small pot of liquor on a stick borne on the shoulder; or pojang, because the arrow, which has been stuck in the roof, is set up in the ground close to one of the pots of liquor."
arrow,bridegroom,"Among the Kāpu Savaras, the preliminary arrow and liquor are similarly presented, but the bridegroom goes at length on an auspicious day with a large party to the bride’s house, and the marriage is marked by his eating out of the same platter with her, and by much drinking, feasting, and dancing.”"
arrow,bridegroom,"Two uncommon rites are the slaughtering of a red ram without blemish, and marking the foreheads of the couple with its blood, and the pursuit by the bridegroom, with a bow and arrow, of a man who pretends to flee, but is at length captured and bound."
arrow,son,"May a male embryo enter the womb, as an arrow the quiver; may a man be born here, thy son, after ten months."
arrow,son,"To return to the Naga Kanya, she conceived and brought forth a son, who remained with her three or four years, and then visited the different Rishis or hermits who resided in the forest, and learnt from them to use the sword, the bow and arrow, and the art of war, and obtained from them a knowledge of the whole circle of sciences."
arrow,warrior,"Kondaiyito is said to be derived from kondo, an arrow, and to indicate warrior."
arrow,blacksmith,"The blacksmith of the tara brings a little stick, called charathkot, with an iron blade at one end, which is supposed to represent an arrow of Kāma."
arrow,husband,"Marriage is infant, and, if a girl does not secure a husband before she reaches maturity, she goes through a form of marriage with an arrow or a grinding stone."
arrow,guard,"The bridegroom, who is the chief figure in the crowd, has a string (the usual kankanam) tied round his right wrist to protect him from evil spirits, and carries a bamboo with sixteen joints symbolic of the married state, a mirror for good luck, an arrow to guard the bride against evil spirits, four cloths, and a tāli."
arrow,landlord,"The flesh of the spoil is divided up between the sylvan deity, the jenmi (landlord), the dogs, the man who put the first arrow or bullet into the animal, and the other Kuricchas."
arrow,wife,"In such marriages, however, it seems to be a growing custom that one brother should give the bow and arrow to one wife, and another brother to another wife.”"
arrow,enemy,"The injured man appealed to the District Forest Officer, and, explaining that he knew the law did not allow him to kill his enemy, applied for a written permit to go after him with a bow and arrow."
arrow,mother,"Parasurāma went towards the river accordingly, and, seeing his mother returning, aimed an arrow at her, which severed her head from her body, and also similarly severed, with its unspent force, the head of the chuckler woman who was coming immediately behind his mother."
arrow,father,"Fatherhood is determined so essentially by this ceremony that a man who has been dead for several years is regarded as the father of any children born by his widow, if no other man has given the bow and arrow."
arrow,father,"In these cases, it is arranged that one of the husbands shall give the bow and arrow, and this man is the father, not only of the child born shortly afterwards, but also of all succeeding children, till another husband performs the essential ceremony."
arrow,child,From this moment the lawful father of the child is the man from whom she has received the bow and arrow.
arrow,child,"In these cases, it is arranged that one of the husbands shall give the bow and arrow, and this man is the father, not only of the child born shortly afterwards, but also of all succeeding children, till another husband performs the essential ceremony."
arrow,child,"When the husbands are own brothers, the eldest brother usually gives the bow and arrow, and is the father of the child, though, so long as the brothers live together, the other brothers are also regarded as fathers."
arrow,infant,"Marriage is infant, and, if a girl does not secure a husband before she reaches maturity, she goes through a form of marriage with an arrow or a grinding stone."
arrow,mother,"I carried a pot of liquor, and arrow, and one brass bangle for the girl’s mother."
arrow,child,"For all social and legal purposes, the father of a child is the man who performs a certain ceremony about the seventh month of pregnancy, in which an imitation bow and arrow are given to the woman."
arrow,purōhit,"The pole has superseded the arrow used of old, and sometimes a purōhit is consulted, and gives the hour from his calendar."
arrow,purōhit,"The purōhit (officiating priest) called Elayath (a low class of Brāhmans) then gives the tāli to the Manavālan, and the family astrologer shouts muhurtham (auspicious hour), and the Manavālan, putting his sword on the lap, ties the tāli round the neck of the girl, who is then required to hold an arrow and a looking-glass in her hand."
arrow,father,From this moment the lawful father of the child is the man from whom she has received the bow and arrow.
arrow,child,"In the Kurnool Manual it is stated that “as soon as a child is born, the umbilical cord is cut (with a knife or arrow), and the child is washed in cold or hot water, according as the season is hot or cold."
arrow,astrologer,"The purōhit (officiating priest) called Elayath (a low class of Brāhmans) then gives the tāli to the Manavālan, and the family astrologer shouts muhurtham (auspicious hour), and the Manavālan, putting his sword on the lap, ties the tāli round the neck of the girl, who is then required to hold an arrow and a looking-glass in her hand."
arrow,widow,"Fatherhood is determined so essentially by this ceremony that a man who has been dead for several years is regarded as the father of any children born by his widow, if no other man has given the bow and arrow."
arrow,bride,"Among the Kāpu Savaras, the preliminary arrow and liquor are similarly presented, but the bridegroom goes at length on an auspicious day with a large party to the bride’s house, and the marriage is marked by his eating out of the same platter with her, and by much drinking, feasting, and dancing.”"
arrow,bride,"The bridegroom, who is the chief figure in the crowd, has a string (the usual kankanam) tied round his right wrist to protect him from evil spirits, and carries a bamboo with sixteen joints symbolic of the married state, a mirror for good luck, an arrow to guard the bride against evil spirits, four cloths, and a tāli."
arrow,bride,"At a marriage among the Kondhs of Baliguda, after the heads of the bride and bridegroom have been brought together, an arrow is discharged from a bow by the younger brother of the bridegroom into the grass roof of the hut."
arrow,priest,"The purōhit (officiating priest) called Elayath (a low class of Brāhmans) then gives the tāli to the Manavālan, and the family astrologer shouts muhurtham (auspicious hour), and the Manavālan, putting his sword on the lap, ties the tāli round the neck of the girl, who is then required to hold an arrow and a looking-glass in her hand."
arrow,grandfather,"If a girl fails to secure a husband before she attains puberty, she has to go through a form of marriage called dharma bibha, in which the bridegroom is, among the Sollokhondias, represented by an old man, preferably the girl’s grandfather, and among the other sections by a sahāda or shādi tree (Streblus asper) or an arrow (khando)."
arrow,father,"For all social and legal purposes, the father of a child is the man who performs a certain ceremony about the seventh month of pregnancy, in which an imitation bow and arrow are given to the woman."
arrow,king,"But the Pāndya king invoked the aid of Siva, and the god arose and slew the elephant with his arrow at the spot where it now lies petrified.”17"
arrow,bride,"In the centre a bow and arrow tied together are fixed in the ground, and the bride and bridegroom are made to move round it, when the men assembled bless them by throwing some rice over them, and the marriage is complete."
arrow,bride,"At a wedding among the Īdigas (Telugu toddy-drawers), the brother of the bride is fantastically dressed, with margosa (Melia Azadirachta) leaves in his turban, and carries a bow and arrow."
arrow,father,"When the husbands are own brothers, the eldest brother usually gives the bow and arrow, and is the father of the child, though, so long as the brothers live together, the other brothers are also regarded as fathers."
arrow,brother,"At a wedding among the Īdigas (Telugu toddy-drawers), the brother of the bride is fantastically dressed, with margosa (Melia Azadirachta) leaves in his turban, and carries a bow and arrow."
arrow,brother,"In such marriages, however, it seems to be a growing custom that one brother should give the bow and arrow to one wife, and another brother to another wife.”"
arrow,brother,"At a marriage among the Kondhs of Baliguda, after the heads of the bride and bridegroom have been brought together, an arrow is discharged from a bow by the younger brother of the bridegroom into the grass roof of the hut."
arrow,brother,"When the husbands are own brothers, the eldest brother usually gives the bow and arrow, and is the father of the child, though, so long as the brothers live together, the other brothers are also regarded as fathers."
art,offspring,"The term Sūta also applies to the offspring of a Kshatriya by a Brāhman, but it seems more probable that the Besthas gained the name from their superiority in the culinary art, sūta also meaning cook."
art,husband,"At the Pumsavanam, or male producing ceremony, the pregnant woman fasts, and her husband squeezes into her right nostril a little juice from the fruit and twig of the ālam tree (Ficus bengalensis), saying “Thou art a male child.”"
art,goldsmith,"With his miserable tools the Hindu goldsmith turns out work that well might, and often deservedly does, rank with the greatest triumphs of the jeweller’s art.”"
art,king,"It is stated, in the Gazetteer of the Madura district, that the inscription at Mandasōr in Western Mālwa “relates how the Pattavāyas, as the caste was then called, were induced to migrate thither from Lāta on the coast of Gujarāt by king Kumāra Gupta (or one of his lieutenants), to practice there their art of silk-weaving."
art,ruler,"In effect they said “Thou art the ruler of the whole of this universe, Oh!"
art,master,"The Nattuvan, or dancing-master, instructs her for the first time in his art, and a quantity of raw rice is given to her by the temple authorities."
art,son,Thou art the Vēda called a son; live thou a hundred years.
art,son,Thou art desirous of a son.
art,chief,"The designs employed both in the etching and fret-work are stiff, and suited rather to work in metal than in ivory; and the chief merit of this Vizagapatam work perhaps lies in its careful finish—a rare quality in Indian objects of art."
art,housewife,"The daughters of the caste, who are brought up to follow the caste profession, are carefully taught dancing, singing, the art of dressing well, and the ars amoris, and their success in keeping up their clientele is largely due to the contrast which they thus present to the ordinary Hindu housewife, whose ideas are bounded by the day’s dinner and the babies."
art,son,"To return to the Naga Kanya, she conceived and brought forth a son, who remained with her three or four years, and then visited the different Rishis or hermits who resided in the forest, and learnt from them to use the sword, the bow and arrow, and the art of war, and obtained from them a knowledge of the whole circle of sciences."
art,guru,"A Paraiya who wishes to practice the cult goes to a guru (preceptor), and, falling at his feet, humbly requests that he may be admitted into the mysteries of the art."
art,bearer,"Thou art Rik, I am Sāmam; I am the sky, thou art the earth; I am the semen, thou art the bearer; I am the mind, thou art the tongue."
art,teacher,"dharbha, thou art capable of giving royal powers, and the teacher’s seat."
art,giver,"Agni, thou art the giver of life, and receiver of oblations."
art,guru,"Having passed through the various ordeals, the guru initiates him into the brotherhood by the performance of pūja on an auspicious day to his favourite Nīli, called also Kallatikode Nīli, through whose aid he works his black art."
art,preceptor,"A Paraiya who wishes to practice the cult goes to a guru (preceptor), and, falling at his feet, humbly requests that he may be admitted into the mysteries of the art."
art,child,"At the Pumsavanam, or male producing ceremony, the pregnant woman fasts, and her husband squeezes into her right nostril a little juice from the fruit and twig of the ālam tree (Ficus bengalensis), saying “Thou art a male child.”"
ash,offspring,"Ghudu, meaning ash-heap, is an opprobrious name given to children of those whose offspring have died young, in the hope of securing long life to them."
ash,child,"The child is taken, immediately after birth, to an ash-heap, where some of the ashes are sprinkled over it."
ash,child,"The father ties a string round the child’s waist, and marks its body with the sacred ash (bhasmam)."
ash,father,"The father ties a string round the child’s waist, and marks its body with the sacred ash (bhasmam)."
ashes,victim,"In another report, Colonel Campbell describes how the miserable victim is dragged along the fields, surrounded by a crowd of half intoxicated Khonds, who, shouting and screaming, rush upon him, and with their knives cut the flesh piecemeal from the bones, avoiding the head and bowels, till the living skeleton, dying from loss of blood, is relieved from torture, when its remains are burnt, and the ashes mixed with the new grain to preserve it from insects.”"
ashes,child,"The guru binds the linga on the child, besmears it with vibhūti (ashes), places a garland of rudrāksha (fruits of Elæocarpus Ganitrus) round its neck, and teaches it the mystic mantra of “Namah Shivaya.”"
ashes,potter,"After this, the Kāpu proceeds to the potter’s kiln, fetches ashes from it, and makes a figure of a human being."
ashes,child,"The child is taken, immediately after birth, to an ash-heap, where some of the ashes are sprinkled over it."
ashes,child,"In 1891 the live inmates of a single hut were murdered, and their hut burnt to ashes, because, it was said, one of them who had been treating a sick Badaga child failed to cure it."
ashes,child,"They also permit the betrothal of infants, the form observed being to present the child with a new cloth and a mat, and to apply sacred ashes to its forehead."
ashes,potter,"After this, the Kāpu proceeds to the potter’s kiln in the village or town, fetches ashes from it, and makes a figure of a human being."
ashes,enemy,"(15) Take the ashes of the burial-ground on which an ass has been rolling on a Saturday or Sunday, and put it in the house of your enemy."
ashes,father,"Siva, the destroyer, he of the bright blue neck, the dweller, as Kāma tauntingly says, among graves and dead men’s ashes; Siva, mighty in penance, is father of Rathi."
ashes,barber,"On the day after the funeral, a Panisavan or barber extinguishes the fire, and collects the ashes together."
ashes,washerman,"On the third day the relations go to the burning-ground, and a barber and washerman sprinkle water over the ashes."
ashes,washerman,"A washerman brings a basket containing various articles required for worship, and, after pūja has been performed, a plant of Leucas aspera is placed on the ashes."
ashes,cultivator,"Mahadeo or Siva, who was in great peril, after hiding successively in a castor-oil and jawāri plantation, concealed himself in a linga-tonde shrub from a rākshasa who was pursuing him, to whom a Marasa Vakkaliga cultivator indicated, with the little finger of his right hand, the hiding-place of Siva, The god was only rescued from his peril by the interposition of Vishnu in the form of a lovely maiden meretriciously dressed, whom the lusty rākshasa, forgetting all about Siva, attempted to ravish, and was consumed to ashes."
ashes,bridegroom,"The bridegroom and one of the girls are carried in procession to the temple, followed by the five women, one of whom carries a brass vessel with five betel leaves and a ball of sacred ashes (vibūthi) over its mouth, and another a woman’s cloth on a metal dish, while the remaining three women and the bridegroom’s parents throw rice."
ashes,beggar,"Together with a man ringing a bell, and perhaps one with a tom-tom, with ashes on his face, he assumes the rôle of a beggar."
ashes,bridegroom,"The bridegroom makes a nāmam (Vaishnavite sect mark), or places vibhūti (sacred ashes) on the twelve posts of the pandal, and the bride places a little cooked rice and water before each post, to which camphor is burnt, and pūja done."
ashes,bridegroom,"Cocoanuts and betel are offered to Hanumān, and lines are drawn on the face of the bridegroom with the sacred ashes."
ashes,zamindar,"In dealing with the tribal affairs of the various castes inhabiting a particular nādu, the lead is taken by the Nāttars, by whom certain privileges are enjoyed, as for example in the distribution to them, after the Brāhman and zamindar, of the flowers and sacred ashes used in temple worship."
ashes,son,"On the third day, the son and other relations go to the burning-ground, heap up the ashes, plant either tulsi (Ocimum sanctum), pērandai (Vitis quadrangularis), or kathalai (Agave Americana), and pour milk."
ashes,father,"The Rishi gave him the horse, to be delivered to his father, and in conferring the boon which Amsumat prayed for, said that his grandson would bring down the divine Ganges, whose “waters shall wash the bones and ashes of thy grandfather’s sons,” and raise them to swarga."
ashes,son,"The corpse should be carried by the sons-in-law if possible, and the nomination of the bearers is indicated by the eldest son of the deceased person making a mark on their shoulders with ashes."
ashes,son,"On the day after cremation, the relations assemble at the burning-ground, and the son, after extinguishing the burning embers, removes the fragments of bones from the ashes."
ashes,barber,"On the third day the relations go to the burning-ground, and a barber and washerman sprinkle water over the ashes."
ashes,child,"Before sunset, mourned by his two wives, the younger and favourite one carrying a young child of light bamboo colour, he had been burnt, without much ceremony, in an open grassy spot, his ashes scattered to the four winds of heaven, and the spot marked by wooden posts driven deep into the soil."
ashes,son,"Taking pity on their poverty, Siva came begging to their house in the disguise of a Jangam, and gave Nīlamma some sacred ashes, while promising prosperity through the birth of another son, who was called Undala Padmanna."
ashes,goddess,"A huge figure, representing the goddess, is made at the burning-ground out of the ashes of burnt bodies mixed with water, the eyes being made of hen’s eggs painted black in the centre to represent the pupils."
ashes,friend,"Finding no remedy, he turned to a Brāhman friend, a Yōgi, who gave him some holy ashes, which he took, and which relieved him of the pains."
ashes,dancer,"A dying but still glowing heap of fire and ashes became the centre of attraction, for the chief dancer danced over the fire, and sent the sparks flying, and scattered the wood, and evoked the admiration and eulogies of the crowd."
ashes,chief,"Streaming with perspiration, spotted with ashes, wild, dishevelled and exhausted, the chief dancing demoniac stepped under the pandal, and finally sat himself before the heap of red flowers, and tossed the blossoms over his head in a kind of shower bath."
ashes,chief,"A dying but still glowing heap of fire and ashes became the centre of attraction, for the chief dancer danced over the fire, and sent the sparks flying, and scattered the wood, and evoked the admiration and eulogies of the crowd."
ashes,sorcerer,"Sometimes, when the sorcerer visits a house of sickness, a rice-pan containing three betel leaves, areca nuts, paddy, tulsi (Ocimum sanctum), sacred ashes, conch and cowry (Cypræa moneta) shells, is placed in the yard."
ashes,offspring,"The ashes and earth are much prized, as they are supposed to drive away evil spirits, and secure offspring to barren women."
ashes,carpenter,"“In the time of Cheramperoumal, a woman belonging to the caste of the washermen, whose house adjoined that of an Ajari (the carpenter caste), being occupied as usual in washing a cloth in water mixed with ashes (which is here used for soap), and having no one at hand to hold the other end of it, called to a young daughter of the Ajari, who was alone in the house, to assist her."
ashes,daughter,"“In the time of Cheramperoumal, a woman belonging to the caste of the washermen, whose house adjoined that of an Ajari (the carpenter caste), being occupied as usual in washing a cloth in water mixed with ashes (which is here used for soap), and having no one at hand to hold the other end of it, called to a young daughter of the Ajari, who was alone in the house, to assist her."
ashes,preceptor,"In the year 3790, a dispute arose in connection with the right of priority in receiving sacred ashes between the Vaisya and true Vellāla women, and the former were made to become the disciples of a new guru (religious preceptor)."
ashes,owner,"Generally, however, no rent is charged, as the owner is only too glad to have the ashes, obtained in extracting, to plough into his field."
ashes,wife,"According to a legend, in Tretayūga (the second age), a Paraiya named Samvara, and his wife Pulini were living in a forest, and one day came across a Sivalinga (stone lingam) at a dilapidated temple, which they kept, and worshipped with offerings of flesh, and by smearing it with ashes from the burial-ground."
ashes,bride,"They exchange cocoanuts and garlands, and, amid the blowing of the conch shell (musical instrument) by women, the bride’s mother touches the couple with turmeric, ashes, sandal, etc."
ashes,bride,"The bridegroom makes a nāmam (Vaishnavite sect mark), or places vibhūti (sacred ashes) on the twelve posts of the pandal, and the bride places a little cooked rice and water before each post, to which camphor is burnt, and pūja done."
ashes,mother,"They exchange cocoanuts and garlands, and, amid the blowing of the conch shell (musical instrument) by women, the bride’s mother touches the couple with turmeric, ashes, sandal, etc."
ashes,mother,"The burning concluded, a portion of the skull was removed from the ashes, and handed over to the recently made mother-in-law of the dead girl, and wrapped up with the hair in the bark of the tūd tree (Meliosma pungens)."
ashes,priest,"At the marriage ceremony, a priest makes a mark with sacred ashes on the foreheads of the contracting couple, and announces the fact of their union."
ashes,priest,"The temple priest gives a garland, and a quantity of ashes for decorating the corpse."
ashes,priest,"Arrived at the grave, the gurukal (priest) descends into it, does pūja and applies vibhūti (sacred ashes) to its sides."
ashes,babe,The babe is washed with water brought from a stream; marked on the forehead with sacred ashes; a turmeric-dyed thread is tied round its waist; a silver or iron bangle placed on its wrists; and a silver bead tied by a thread round its neck.
ashes,witness,"A general distribution then takes place The ceremony, which is called sākshi vilya or witness betel-leaf, is brought to a conclusion by waving in front of the couple a brass vessel, over the mouth of which five betel leaves and a ball of ashes are placed."
ashes,performer,"When the body is almost reduced to ashes, the principal performer of the ceremonies and his brothers bathe, and, taking some earth from the adjoining stream or tank, make with it a representation of the deceased."
ashes,king,"When Sammandha Swāmi offered to cure the king by simply throwing sacred ashes on him, the Jain priests who were present contended that they must still be given a chance."
ashes,king,"The object of the inscription appears to be to record the restoration by one Kothalinga, a Kōmati whose genealogy is given, of the great town (Penugonda), which had been burnt to ashes by a Gajapathi king."
ashes,patient,"After the operation, the patient had to sit on the ashes, with crossed legs, for three days."
ashes,patient,"Many Tangals pretend to cure diseases by writing selections from the Korān on a plate with ink or on a coating of ashes, and then giving the ink or ashes mixed with water to the patient to swallow."
ashes,grandfather,"The Rishi gave him the horse, to be delivered to his father, and in conferring the boon which Amsumat prayed for, said that his grandson would bring down the divine Ganges, whose “waters shall wash the bones and ashes of thy grandfather’s sons,” and raise them to swarga."
ashes,guru,"The guru binds the linga on the child, besmears it with vibhūti (ashes), places a garland of rudrāksha (fruits of Elæocarpus Ganitrus) round its neck, and teaches it the mystic mantra of “Namah Shivaya.”"
ashes,grandson,"The Rishi gave him the horse, to be delivered to his father, and in conferring the boon which Amsumat prayed for, said that his grandson would bring down the divine Ganges, whose “waters shall wash the bones and ashes of thy grandfather’s sons,” and raise them to swarga."
ashes,guru,"In the year 3790, a dispute arose in connection with the right of priority in receiving sacred ashes between the Vaisya and true Vellāla women, and the former were made to become the disciples of a new guru (religious preceptor)."
ashtamangalam,bridesmaid,"This is followed by the waving of ārathi (coloured water), and circumambulation of the pandal by the pair, along with the ashtamangalam or eight auspicious things, viz., the bridesmaid, best man, lamp, vessel filled with water, mirror, ankusam (elephant goad), white chamara (yak’s tail fly-flapper), flag and drum."
asterism,chief,The chief days for the worship of this deity are Bharani asterism in March and Pattāmudayam in April.
attire,child,"Later on, all the women of the Madhave sept, who have given birth to a first-born child, come, dressed up in holiday attire, with their babies, to the temple."
attire,bridegroom,"As in Brāhmanical marriages, the rolling of a cocoanut to and fro is gone through, the temple priest or an elderly Dāsi, dressed in male attire, acting the part of the bridegroom."
